millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX(uT),magY(uT),magZ(uT),ozone concentration,
2635,22.94915,95181,17.47613,38.28300,524.39362,-8.36292,-2.11047,4.72343,0.00367,-0.02169,-0.00916,-21.82111,5.30547,-23.64806,0,
3979,22.97187,95184,17.34113,40.18400,524.30640,-8.53520,-2.22533,4.95314,0.10201,-0.06384,0.04459,-21.58726,5.26162,-23.96960,0,
5324,22.86680,95185,17.27019,42.41200,524.12939,-8.43470,-3.50309,4.61576,0.10201,0.02688,0.07758,-23.48729,10.56709,-23.86729,0,
6733,22.80780,95186,17.18659,44.10200,524.12939,-9.62633,-2.06022,3.68973,0.00641,-0.18295,0.20220,-27.55042,5.01315,-19.02952,0,
8079,22.82105,95187,17.11684,45.93100,524.04218,-9.98525,0.00718,1.12702,-0.28191,-0.30574,-0.25931,-31.40895,-4.26776,-9.52938,0,
9424,22.85639,95187,17.04825,47.64700,523.95502,-8.98026,0.31585,-2.23968,-0.08552,-0.11057,-0.34453,-32.66589,-11.40018,5.94855,0,
10770,22.89394,95188,17.00493,48.92300,523.86780,-6.88415,1.57926,-7.31486,-0.64477,0.31215,0.71929,-19.99415,-17.99182,34.25899,0,
12120,22.92612,95191,16.93623,50.29900,523.60620,-7.60200,-1.10548,-5.49871,0.06964,0.06506,-0.02260,-27.95966,-5.51008,39.15522,0,
13464,22.95799,95193,16.87257,51.72300,523.42920,-8.09013,-1.28495,-6.15195,-0.48045,0.17379,0.42913,-30.47355,-2.98158,35.95440,0,
14810,22.98733,95194,16.81382,53.06100,523.42920,-7.59482,-5.59203,-3.11545,0.10415,0.01833,-0.02657,-35.93978,17.12949,34.66822,0,
16156,23.01258,95193,16.75489,53.94700,523.42920,-7.93939,-4.73779,-3.12981,0.10904,-0.13836,-0.05620,-34.34668,10.30400,35.53055,0,
17510,23.02961,95193,16.68053,55.40400,523.42920,-7.77428,-4.30708,-4.18505,0.12584,0.01863,0.02199,-33.01666,9.77784,38.29290,0,
18855,23.05359,95194,16.61158,56.48400,523.34198,-8.08295,-4.33579,-4.45783,-0.04062,-0.13164,-0.08583,-33.16282,10.14323,37.67904,0,
20201,23.07694,95193,16.54263,57.64600,523.42920,-7.21436,-5.24746,-3.61077,0.59834,-0.25931,-0.33078,-31.39433,14.10406,39.22829,0,
21548,23.09903,95193,16.48365,58.65200,523.51636,-7.42971,-5.19721,-4.11326,-0.20342,0.00733,0.05528,-30.99971,14.76177,40.96755,0,
22895,23.11860,95194,16.42958,60.46600,523.51636,-6.82672,-5.70688,-3.28056,0.07880,0.02321,-0.04520,-33.16282,19.26337,38.07366,0,
24241,23.13942,95192,16.36559,60.50900,523.51636,-7.06361,-5.80020,-3.15853,-0.06292,0.13744,-0.07605,-31.51125,18.45951,39.22829,1,
25585,23.16088,95192,16.31666,61.43800,523.60620,-7.41536,-6.14477,-2.87857,-0.26420,-0.12523,0.20556,-32.19819,19.83338,38.16135,2,
